#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:12.00 tex:1906 mv:3772 misc:5338 imb:920 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:29.03 aq:15.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:18.16 tex:1865 mv:256 misc:167 imb:25 pmb:12 smb:883 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:29.03 aq:18.78 tex:4562 mv:243 misc:163 imb:12 pmb:27 smb:881 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.03 aq:18.84 tex:4316 mv:214 misc:166 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:29.03 aq:18.90 tex:4257 mv:186 misc:165 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:18.94 tex:4203 mv:160 misc:165 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:29.03 aq:19.30 tex:4773 mv:150 misc:165 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:29.03 aq:19.42 tex:4585 mv:140 misc:163 imb:1 pmb:38 smb:881 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:29.03 aq:20.03 tex:4589 mv:128 misc:163 imb:1 pmb:38 smb:881 d:- ref:0 ;
